srniel_damage_rank,formula,material_id,parameter,ddde_mev_per_g,ddde_to_p_mev_per_g,dddp_mev_per_g,rf_min_pct,rf_mid_pct,rf_max_pct,grf_min_pct,grf_mid_pct,grf_max_pct,has_fallback_ed,density_g_cm3,manifest_density_g_cm3,density_matches_manifest,active_layer_name,active_layer_formula,electron_niel_file,proton_niel_file,electron_niel_matches_candidate,proton_niel_matches_candidate,omere_status,validated_candidate_layer,source_file
7,NbBi3O7,JVASP-13254,Voc,548891000.0,253430000.0,558235000.0,95.9665,95.9665,95.9665,,,,False,8.354,8.354,True,NbBi3O7,NbBi3O7,C:\LUMENS\sadc_edit_active_pilot_20260523_104628\candidate_niel\NIEL_e_NbBi3O7_JVASP-13254.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104628\candidate_niel\NIEL_p_NbBi3O7_JVASP-13254.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/07_NbBi3O7_JVASP-13254.dat
7,NbBi3O7,JVASP-13254,Pmax,548891000.0,296499000.0,558235000.0,97.19,97.19,97.19,97.1097,97.1097,97.1097,False,8.354,8.354,True,NbBi3O7,NbBi3O7,C:\LUMENS\sadc_edit_active_pilot_20260523_104628\candidate_niel\NIEL_e_NbBi3O7_JVASP-13254.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104628\candidate_niel\NIEL_p_NbBi3O7_JVASP-13254.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/07_NbBi3O7_JVASP-13254.dat
7,NbBi3O7,JVASP-13254,Ipm,548891000.0,548891000.0,558235000.0,99.5098,99.5098,99.5098,99.4276,99.4276,99.4276,False,8.354,8.354,True,NbBi3O7,NbBi3O7,C:\LUMENS\sadc_edit_active_pilot_20260523_104628\candidate_niel\NIEL_e_NbBi3O7_JVASP-13254.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104628\candidate_niel\NIEL_p_NbBi3O7_JVASP-13254.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/07_NbBi3O7_JVASP-13254.dat
7,NbBi3O7,JVASP-13254,Vpm,548891000.0,108369000.0,558235000.0,94.9935,94.9935,94.9935,,,,False,8.354,8.354,True,NbBi3O7,NbBi3O7,C:\LUMENS\sadc_edit_active_pilot_20260523_104628\candidate_niel\NIEL_e_NbBi3O7_JVASP-13254.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104628\candidate_niel\NIEL_p_NbBi3O7_JVASP-13254.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/07_NbBi3O7_JVASP-13254.dat
8,ZnBi2O5,JVASP-9800,Isc,67128400.0,67128400.0,590928000.0,99.7998,99.7998,99.7998,99.7174,99.7174,99.7174,False,7.910,7.91,True,ZnBi2O5,ZnBi2O5,C:\LUMENS\sadc_edit_active_pilot_20260523_104804\candidate_niel\NIEL_e_ZnBi2O5_JVASP-9800.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104804\candidate_niel\NIEL_p_ZnBi2O5_JVASP-9800.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/08_ZnBi2O5_JVASP-9800.dat
8,ZnBi2O5,JVASP-9800,Voc,67128400.0,30994000.0,590928000.0,96.4869,96.4869,96.4869,,,,False,7.910,7.91,True,ZnBi2O5,ZnBi2O5,C:\LUMENS\sadc_edit_active_pilot_20260523_104804\candidate_niel\NIEL_e_ZnBi2O5_JVASP-9800.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104804\candidate_niel\NIEL_p_ZnBi2O5_JVASP-9800.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/08_ZnBi2O5_JVASP-9800.dat
8,ZnBi2O5,JVASP-9800,Pmax,67128400.0,36261300.0,590928000.0,97.882,97.882,97.882,97.8011,97.8011,97.8011,False,7.910,7.91,True,ZnBi2O5,ZnBi2O5,C:\LUMENS\sadc_edit_active_pilot_20260523_104804\candidate_niel\NIEL_e_ZnBi2O5_JVASP-9800.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104804\candidate_niel\NIEL_p_ZnBi2O5_JVASP-9800.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/08_ZnBi2O5_JVASP-9800.dat
8,ZnBi2O5,JVASP-9800,Ipm,67128400.0,67128400.0,590928000.0,99.7077,99.7077,99.7077,99.6253,99.6253,99.6253,False,7.910,7.91,True,ZnBi2O5,ZnBi2O5,C:\LUMENS\sadc_edit_active_pilot_20260523_104804\candidate_niel\NIEL_e_ZnBi2O5_JVASP-9800.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104804\candidate_niel\NIEL_p_ZnBi2O5_JVASP-9800.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/08_ZnBi2O5_JVASP-9800.dat
8,ZnBi2O5,JVASP-9800,Vpm,67128400.0,13253300.0,590928000.0,95.2152,95.2152,95.2152,,,,False,7.910,7.91,True,ZnBi2O5,ZnBi2O5,C:\LUMENS\sadc_edit_active_pilot_20260523_104804\candidate_niel\NIEL_e_ZnBi2O5_JVASP-9800.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104804\candidate_niel\NIEL_p_ZnBi2O5_JVASP-9800.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/08_ZnBi2O5_JVASP-9800.dat
9,Ag3SI,JVASP-53111,Isc,90931100.0,90931100.0,626937000.0,99.7817,99.7817,99.7817,99.6992,99.6992,99.6992,False,6.577,6.577,True,Ag3SI,Ag3SI,C:\LUMENS\sadc_edit_active_pilot_20260523_104941\candidate_niel\NIEL_e_Ag3SI_JVASP-53111.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104941\candidate_niel\NIEL_p_Ag3SI_JVASP-53111.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/09_Ag3SI_JVASP-53111.dat
