formula,material_id,particle,energy_MeV,niel_MeV_cm2_g,source_file
Ag2Te,JVASP-108812,proton,0.075,0.29634,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.08,0.28415,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.085,0.27303,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.09,0.26283,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.095,0.25344,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.1,0.24477,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.15,0.18401,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.2,0.14885,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.25,0.12567,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.3,0.10913,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.35,0.096689,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.4,0.086892,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.45,0.078979,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.5,0.072514,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.55,0.067123,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.6,0.062552,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.65,0.058623,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.7,0.055205,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.75,0.052202,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.8,0.049542,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.85,0.047166,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.9,0.045031,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.95,0.0431,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,1.0,0.041345,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,1.5,0.02924,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,2.0,0.022697,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,2.5,0.018629,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,3.0,0.015843,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,3.5,0.01381,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,4.0,0.012258,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,4.5,0.011033,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,5.0,0.010039,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,5.5,0.0092183,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,6.0,0.0085359,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,6.5,0.007969,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,7.0,0.0074878,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,7.5,0.0070677,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,8.0,0.0066951,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,8.5,0.0063625,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,9.0,0.0060648,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,9.5,0.005798,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,10.0,0.0055583,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,15.0,0.0040999,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,20.0,0.0034463,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,25.0,0.0030836,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,30.0,0.0028519,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,35.0,0.0026895,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,40.0,0.0025685,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,45.0,0.002475,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,50.0,0.0024017,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,55.0,0.0023439,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,60.0,0.0022987,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,65.0,0.0022636,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,70.0,0.0022368,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,75.0,0.0022166,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,80.0,0.0022018,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,85.0,0.0021912,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,90.0,0.0021837,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,95.0,0.0021786,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,100.0,0.0021752,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,150.0,0.0021593,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,200.0,0.0021297,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,250.0,0.0021239,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,300.0,0.0021618,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,350.0,0.0022363,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,400.0,0.0023313,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,450.0,0.0024316,Ag2Te_JVASP-108812_p_srniel.csv
