formula,material_id,element,recommended_ed_eV,aggregation_mode,weighted_mean_ed_eV,minimum_ed_eV,maximum_ed_eV,inequivalent_site_count,structure_source,ed_mode,status,error
Na2WO4,JVASP-11669,Na,27.677,min,27.677,27.677,27.677,1,jarvis_relaxed_input+idealized,static,ok,
Na2WO4,JVASP-11669,W,19.987,min,19.987,19.987,19.987,1,jarvis_relaxed_input+idealized,static,ok,
Na2WO4,JVASP-11669,O,7.052,min,7.052,7.052,7.052,1,jarvis_relaxed_input+idealized,static,ok,
Na3VS3O,JVASP-12252,Na,5.67,min,5.67,5.67,5.67,1,jarvis_relaxed_input+idealized,static,ok,
Na3VS3O,JVASP-12252,V,2.908,min,2.908,2.908,2.908,1,jarvis_relaxed_input+idealized,static,ok,
Na3VS3O,JVASP-12252,S,5.331,min,5.331,5.331,5.331,1,jarvis_relaxed_input+idealized,static,ok,
Na3VS3O,JVASP-12252,O,5.272,min,5.272,5.272,5.272,1,jarvis_relaxed_input+idealized,static,ok,
NaS,JVASP-9152,Na,2.013,min,2.013,2.013,2.013,1,jarvis_relaxed_input+idealized,static,ok,
NaS,JVASP-9152,S,0.802,min,0.802,0.802,0.802,1,jarvis_relaxed_input+idealized,static,ok,
NbBi3O7,JVASP-13254,Nb,1.558,min,1.558,1.558,1.558,1,jarvis_relaxed_input+idealized,static,ok,
NbBi3O7,JVASP-13254,Bi,57.752,min,57.752,57.752,57.752,1,jarvis_relaxed_input+idealized,static,ok,
NbBi3O7,JVASP-13254,O,0.691,min,0.691,0.691,0.691,1,jarvis_relaxed_input+idealized,static,ok,
NbS2,JVASP-574,Nb,28.0,min,28.0,28.0,28.0,1,material_level_fallback_no_qe_result,static,ok,
NbS2,JVASP-574,S,7.6,min,7.6,7.6,7.6,1,material_level_fallback_no_qe_result,static,ok,
P2Se5,JVASP-5590,P,8.7,min,8.7,8.7,8.7,1,jarvis_relaxed_input+idealized,static,ok,
P2Se5,JVASP-5590,Se,7.4,min,7.4,7.4,7.4,1,jarvis_relaxed_input+idealized,static,ok,
PbS,JVASP-17941,Pb,12.507,min,12.507,12.507,12.507,1,jarvis_relaxed_input+idealized,static,ok,
PbS,JVASP-17941,S,7.6,min,7.6,7.6,7.6,1,jarvis_relaxed_input+idealized,static,ok,
PtI2,JVASP-12896,Pt,6.913,min,6.913,6.913,6.913,1,jarvis_relaxed_input+idealized,static,ok,
PtI2,JVASP-12896,I,10.106,min,10.106,10.106,10.106,1,jarvis_relaxed_input+idealized,static,ok,
