srniel_damage_rank,formula,material_id,has_fallback_ed,density_g_cm3,density_source,cell_json,mission_json,electron_niel,proton_niel,cell_template,degradation_coefficients,sadc_status
31,Ga3BN4,JVASP-35152,False,5.72,JARVIS-DFT density field,sadc_input_bundles/31_Ga3BN4_JVASP-35152/Cell.json,sadc_input_bundles/31_Ga3BN4_JVASP-35152/Mission.json,sadc_input_bundles/31_Ga3BN4_JVASP-35152/niel/electron_NIEL.dat,sadc_input_bundles/31_Ga3BN4_JVASP-35152/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
32,Cu2SnSe3,JVASP-109764,False,5.574,JARVIS-DFT density field,sadc_input_bundles/32_Cu2SnSe3_JVASP-109764/Cell.json,sadc_input_bundles/32_Cu2SnSe3_JVASP-109764/Mission.json,sadc_input_bundles/32_Cu2SnSe3_JVASP-109764/niel/electron_NIEL.dat,sadc_input_bundles/32_Cu2SnSe3_JVASP-109764/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
33,ScMo3O8,JVASP-12703,False,5.514,JARVIS-DFT density field,sadc_input_bundles/33_ScMo3O8_JVASP-12703/Cell.json,sadc_input_bundles/33_ScMo3O8_JVASP-12703/Mission.json,sadc_input_bundles/33_ScMo3O8_JVASP-12703/niel/electron_NIEL.dat,sadc_input_bundles/33_ScMo3O8_JVASP-12703/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
34,CaSnS3,JVASP-40190,False,3.905,JARVIS-DFT density field,sadc_input_bundles/34_CaSnS3_JVASP-40190/Cell.json,sadc_input_bundles/34_CaSnS3_JVASP-40190/Mission.json,sadc_input_bundles/34_CaSnS3_JVASP-40190/niel/electron_NIEL.dat,sadc_input_bundles/34_CaSnS3_JVASP-40190/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
35,ZnGeN2,JVASP-9374,False,5.877,JARVIS-DFT density field,sadc_input_bundles/35_ZnGeN2_JVASP-9374/Cell.json,sadc_input_bundles/35_ZnGeN2_JVASP-9374/Mission.json,sadc_input_bundles/35_ZnGeN2_JVASP-9374/niel/electron_NIEL.dat,sadc_input_bundles/35_ZnGeN2_JVASP-9374/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
36,ZnS,JVASP-10591,False,4.034,JARVIS-DFT density field,sadc_input_bundles/36_ZnS_JVASP-10591/Cell.json,sadc_input_bundles/36_ZnS_JVASP-10591/Mission.json,sadc_input_bundles/36_ZnS_JVASP-10591/niel/electron_NIEL.dat,sadc_input_bundles/36_ZnS_JVASP-10591/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
37,MgCu2O4,JVASP-9908,False,5.176,JARVIS-DFT density field,sadc_input_bundles/37_MgCu2O4_JVASP-9908/Cell.json,sadc_input_bundles/37_MgCu2O4_JVASP-9908/Mission.json,sadc_input_bundles/37_MgCu2O4_JVASP-9908/niel/electron_NIEL.dat,sadc_input_bundles/37_MgCu2O4_JVASP-9908/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
38,MoH2O4,JVASP-54713,False,3.629,JARVIS-DFT density field,sadc_input_bundles/38_MoH2O4_JVASP-54713/Cell.json,sadc_input_bundles/38_MoH2O4_JVASP-54713/Mission.json,sadc_input_bundles/38_MoH2O4_JVASP-54713/niel/electron_NIEL.dat,sadc_input_bundles/38_MoH2O4_JVASP-54713/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
39,KP,JVASP-10123,False,2.104,JARVIS-DFT density field,sadc_input_bundles/39_KP_JVASP-10123/Cell.json,sadc_input_bundles/39_KP_JVASP-10123/Mission.json,sadc_input_bundles/39_KP_JVASP-10123/niel/electron_NIEL.dat,sadc_input_bundles/39_KP_JVASP-10123/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
40,MgCu2O4,JVASP-9884,False,4.42,JARVIS-DFT density field,sadc_input_bundles/40_MgCu2O4_JVASP-9884/Cell.json,sadc_input_bundles/40_MgCu2O4_JVASP-9884/Mission.json,sadc_input_bundles/40_MgCu2O4_JVASP-9884/niel/electron_NIEL.dat,sadc_input_bundles/40_MgCu2O4_JVASP-9884/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
